year,month,airport,city,passengers
2025,10,LAX,Los Angeles,3112959
2025,10,LGA,New York,1449094
2025,10,MCO,Orlando,2294952
2025,10,MDW,Chicago,880947
2025,10,ORD,Chicago,3818677
2025,10,SEA,Seattle,2106606
2025,11,ANC,Anchorage,163804
2025,11,BOS,Boston,1591829
2025,11,DEN,Denver,3049618
2025,11,EWR,New York,1916142
2025,11,JFK,New York,2384896
2025,11,LAX,Los Angeles,2840103
2025,11,LGA,New York,1326854
2025,11,MCO,Orlando,2272869
2025,11,MDW,Chicago,663838
2025,11,ORD,Chicago,3104614
2025,11,SEA,Seattle,1816765
2025,12,ANC,Anchorage,185000
2025,12,BOS,Boston,1707002
2025,12,DEN,Denver,3257797
2025,12,EWR,New York,2163711
2025,12,JFK,New York,2635382
2025,12,LAX,Los Angeles,3151367
2025,12,LGA,New York,1400873
2025,12,MCO,Orlando,2498941
2025,12,MDW,Chicago,731988
2025,12,ORD,Chicago,3330627
2025,12,SEA,Seattle,2015625
2026,1,ANC,Anchorage,163595
2026,1,BOS,Boston,1289504
2026,1,DEN,Denver,2873165
2026,1,EWR,New York,1752628
2026,1,JFK,New York,2140404
2026,1,LAX,Los Angeles,2684804
2026,1,LGA,New York,1110815
2026,1,MCO,Orlando,2436342
2026,1,MDW,Chicago,524628
2026,1,ORD,Chicago,2719407
2026,1,SEA,Seattle,1694851
2026,2,ANC,Anchorage,151865
2026,2,BOS,Boston,1337539
2026,2,DEN,Denver,2783943
2026,2,EWR,New York,1590729
2026,2,JFK,New York,1924438
2026,2,LAX,Los Angeles,2446564
2026,2,LGA,New York,1070545
2026,2,MCO,Orlando,2321219
2026,2,MDW,Chicago,524583
2026,2,ORD,Chicago,2839535
2026,2,SEA,Seattle,1634110
2026,3,ANC,Anchorage,191117
2026,3,BOS,Boston,1666281
2026,3,DEN,Denver,3402446
2026,3,EWR,New York,2046959
2026,3,JFK,New York,2318761
2026,3,LAX,Los Angeles,2999340
2026,3,LGA,New York,1300175
2026,3,MCO,Orlando,2626988
2026,3,MDW,Chicago,825028
2026,3,ORD,Chicago,3576944
2026,3,SEA,Seattle,1907394
